d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other
0.066760727,0.375562813,0.01001261,0.044904915,0.095029863,0.124947781,0.027070021,0.013609955,0.01678761,0.008333849,0.216979856
0.00188252,0.034621995,0.039505634,0.218290454,0.130248547,0.291135787,0.097345374,0.048318009,0.002237198,0.022917633,0.113496849
0.007801214,0.004093229,0.129153424,0.002889338,0.066791871,0.128671867,0.106279495,0.000577868,0.001492825,0.000433401,0.551815468
0.11164625,0.078601136,0.064753012,0.089536847,0.006448104,0.137914622,0.0824428,0.014403409,0.035254921,0.006572759,0.372426141
0.095682075,0.072811613,0.030901664,0.254990653,0.422076573,0.01107752,0.005700307,0.022916619,0.012392975,0.002446286,0.069003716
0.440131734,0.125550291,0.062640723,0.062472696,0.031454784,0.014450381,0.014047115,0.026951642,0.04805592,0.004771986,0.169472729
0.416960232,0.093408389,0.089704013,0.027855457,0.012820047,0.139095696,0.0072998,0.088214999,0.019538769,0.008934084,0.096168513
0.157908018,0.359576079,0.096072885,0.069259067,0.009323081,0.034941631,0.023360824,0.018579757,0.027384889,0.010850366,0.192743403
0.307628515,0.268844078,0.084271514,0.14277762,0.045225788,0.009485941,0.010144845,0.039011644,0.018960523,0.003374041,0.07027549
0.235316254,0.08849327,0.077290491,0.02237661,0.030308294,0.104125054,0.012273846,0.195223621,0.053813866,0.006136923,0.174641772
