d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,d5__prevotella,d5__ezakiella,d5__shuttleworthia,d4__prevotellaceaeother,d5__corynebacterium,d5__aerococcus,d5__porphyromonas,d5__atopobium,d5__parvimonas,d5__megasphaera,d5__gemella,d5__peptostreptococcus,d5__dialister,d5__mycoplasma,d5__fusobacterium,d5__ureaplasma,d5__campylobacter,d4__bifidobacteriaceaeother,d5__escherichiashigella,d4__familyxiother,d5__granulicatella,d5__fastidiosipila,d4__corynebacteriaceaeother,d5__prevotella6,d5__brevibacterium,d5__facklamia,d5__acinetobacter,d5__ralstonia,d5__chlamydia,d5__neisseria,d5__treponema2
0.163003663,0.201548452,0.026848152,0.132034632,0.018897769,0.132700633,0.043623044,0.011072261,0.084665335,0.013195138,0.004995005,0.037462537,0.001581752,0.062604063,0.003912754,0.0001665,0.008907759,0.007992008,0.003205128,0.001248751,0.000707626,0.001040626,0.002622378,0.001373626,0.010364635,0.003288378,8.33E-05,0.000790876,0.000374625,0.007783883,0.001789877,0.001581752,0.000541126,0.000624376,0,0.000582751,0.000124875,0.000749251,0,0,4.16E-05
0.476625602,0.198797966,0.05811645,0.028500721,0.056593511,0.013189742,0.029996465,0.023659949,0.011313263,0.007723478,0.006798836,0.006635664,0.00437845,0.001767697,0.010524598,0.00040793,0.002257214,0.002665144,0.008675315,0.001250986,0.003589785,5.44E-05,0.003290637,0.003100269,0.002039651,0.001359767,0.000707079,0.001359767,0.002773925,0.000217563,0.000788665,0.001767697,0.001305377,0.001441353,0.003997716,0.001196595,0.001441353,0.000652688,2.72E-05,5.44E-05,0
0.365456265,0.200652497,0.093318662,0.01882203,0.008687091,0.164379066,0.019459084,0.019864481,0.009536495,0.007258547,0.006119573,0.004420764,0.013416729,0.001679504,0.007914905,9.65E-05,0.010578946,0.001525067,0.005501824,0.001563676,0.00274126,0,0.00299222,0.002026988,0.001853246,0.001100365,0.000656358,0.001003842,0.001158279,3.86E-05,0.000501921,0.001293411,0.00111967,0.000888014,0.000656358,0.000482616,0.001602286,0.000598444,0,1.93E-05,0
0.412008044,0.175964761,0.052034856,0.034243034,0.14151106,0.01365508,0.027118644,0.03274921,0.012161256,0.007698937,0.006875419,0.006415781,0.004845351,0.002508858,0.009154458,0.000574548,0.002317342,0.002585464,0.00821603,0.000938428,0.00302595,9.58E-05,0.004098439,0.002087523,0.001915158,0.001819401,0.000785215,0.001244853,0.00109164,7.66E-05,0.001436369,0.003083405,0.001283156,0.00145552,0.000861821,0.00084267,0.001187398,0.001015034,0.00011491,0.000268122,0
0.381813294,0.131415642,0.036247956,0.051728387,0.008804355,0.110513699,0.028205301,0.01669019,0.012388825,0.061540874,0.034522929,0.004234156,0.041893496,0.003920514,0.008826758,0.004099738,0.000985729,0.003270829,0.002934785,0.001545803,0.001792235,6.72E-05,0.002195488,0.001008132,0.001254565,0.003606873,0.000336044,0.001120147,0.0007617,0.001164953,0.0015234,0.000985729,0.007034523,0.002397115,0.004816632,0.000358447,0.000649685,0.001971459,0,0.000179224,2.24E-05
0.464401447,0.220418436,0.058266478,0.052823659,0.011074406,0.015164386,0.022620733,0.021047664,0.013150857,0.007361963,0.021960044,0.006418122,0.000880919,0.009532798,0.009721567,0.00204499,0.002611295,0.002485449,0.007267579,0.002359604,0.003838289,6.29E-05,0.003209061,0.002800063,0.002485449,0.0045619,0.000660689,0.001761837,0.002076451,0.00113261,0.000849457,0.001321378,0.000975303,0.001164071,0.001258455,0.000629228,0.001447224,0.00069215,0,0.000125846,0
0.484829956,0.229909154,0.054827626,0.023555788,0.021663173,0.013801537,0.021575821,0.029641276,0.011006289,0.008502213,0.00719194,0.005474027,0.013743303,0.001193804,0.0096669,5.82E-05,0.003232006,0.00215467,0.008152807,0.001048218,0.003872583,0.00020382,0.003668763,0.002678779,0.002183788,0.001193804,0.000757046,0.001688796,0.003406709,0.000174703,0.000815281,0.001805264,0.002271139,0.002300256,0.001222921,0.001222921,0.00174703,0.000582343,0,0.00020382,5.82E-05
0.490829992,0.231482271,0.061332423,0.024680827,0.026642782,0.014302369,0.02277574,0.025107339,0.009070488,0.008501806,0.007108533,0.005743695,0.000682419,0.001706048,0.010605931,0.000369644,0.002729677,0.002672808,0.007591913,0.00096676,0.003497398,0.000142171,0.002985584,0.00295715,0.003042452,0.001393272,0.000625551,0.00213256,0.001336404,8.53E-05,0.000568683,0.00164918,0.000881458,0.001251102,0.001108931,0.001165799,0.001734482,0.00082459,0,0.000170605,0
0.189433792,0.135867413,0.040188925,0.067170089,0.228830816,0.027292268,0.029639686,0.016658182,0.021098478,0.055800667,0.080208157,0.009813904,0.002347418,0.020900503,0.00752305,0.00118785,0.002432264,0.005995814,0.005034221,0.001866621,0.001527236,0.0031676,0.004779682,0.001159568,0.000509079,0.000763618,0.000169693,0.002828214,0.000961593,0.003648396,0.002630239,0.001216132,0.000989875,0.001103004,0.000367668,0.00039595,0.007466486,0.00118785,2.83E-05,0.000113129,0
0.355557448,0.117109446,0.043454814,0.222865577,0.008004087,0.053928247,0.040190736,0.007180972,0.014617393,0.002724796,0.001702997,0.008344687,0.000709582,0.012176431,0.002497729,0.000368983,0.000454133,0.016689373,0.001163715,0.011835831,0.003008629,0.03979337,0.001844914,0.000567666,0.000993415,0.00621594,2.84E-05,0.007493188,0.001050182,0.010019301,0.002213896,0.000227066,0.0001703,0.000283833,0.000113533,0.001930064,0.000624432,0.000340599,0.0001703,0.000113533,0
0.31420335,0.110712201,0.330721752,0.021629556,0.009214226,0.033160603,0.025750314,0.018905965,0.009762482,0.013830182,0.018605309,0.005818581,0.006437578,0.007021205,0.003006561,8.84E-05,0.002758962,0.00337796,0.001131882,0.00634915,0.001308738,0,0.001361795,0.001450224,0.00122031,0.020833702,0.000495198,0.00297119,0.000672055,0.000795854,0.001025768,0.001096511,0.000725112,0.007923174,0.000565941,0.000159171,0.000300656,0.001291053,0,0.000159171,0
0.524303006,0.194886441,0.054100367,0.025078199,0.029076567,0.013926289,0.017326261,0.025676595,0.010961512,0.015313477,0.00747994,0.005793554,0.001958384,0.001985584,0.01126071,0.000135999,0.009003128,0.002420781,0.002012784,0.000951992,0.003508772,2.72E-05,0.003998368,0.003590371,0.002284782,0.001631987,0.000734394,0.001550388,0.002039984,0.000135999,0.000734394,0.001876785,0.001033592,0.00125119,0.000951992,0.001142391,0.001713586,0.000543996,5.44E-05,0,0
0.140312876,0.066095066,0.041095066,0.353880866,0.041064982,0.011732852,0.061702768,0.014861613,0.011702768,0.052466907,0.036732852,0.003971119,0.001744886,0.057821901,0.00433213,0.028519856,0.002617329,0.005716005,0.001353791,0.002888087,0.000932611,0.000120337,0.001654633,0.000932611,0.000451264,0.014169675,0.00021059,0.003670277,0.001233454,0.000842359,0.00177497,0.001323706,0.001083032,0.00234657,0.004663057,0.001143201,0.000150421,0.002226233,3.01E-05,6.02E-05,0
0.251849542,0.205533037,0.031973695,0.05674764,0.007624933,0.006150968,0.012273591,0.013265682,0.170242921,0.010969699,0.022648034,0.083250659,0.000425182,0.004960458,0.004847076,0.000481873,0.008843788,0.022789762,0.006831259,0.001048783,0.001162164,0,0.002721166,0.001899147,0.044899232,0.001020437,0.000283455,0.000680291,0.001218855,0.012358627,0.00119051,0.002806202,0.000481873,0.000510219,0.000368491,0.000538564,0.000283455,0.000850364,2.83E-05,0,0
0.400668216,0.23323649,0.042010459,0.026002324,0.042475305,0.022777455,0.015572342,0.034718187,0.011679256,0.011824521,0.007234166,0.006246368,0.041836142,0.001743173,0.008163858,0.000261476,0.027542127,0.003253922,0.007640906,0.002091807,0.003282975,0.000145264,0.00363161,0.004067403,0.00232423,0.001336432,0.000639163,0.001104009,0.003370134,2.91E-05,0.000987798,0.001772225,0.007059849,0.001074956,0.000493899,0.001365485,0.001365485,0.005984893,0,0.000174317,0
0.447421318,0.227854724,0.061513892,0.031527935,0.017457389,0.017650136,0.02103698,0.026846931,0.014318363,0.013547375,0.009196795,0.009031583,0.016493653,0.001211554,0.009912713,0.000302888,0.002863673,0.002891208,0.008866371,0.000798524,0.008205524,0.000137677,0.005011427,0.004102762,0.00217529,0.001734725,0.001211554,0.001266624,0.005149104,0.001101413,0.000605777,0.002863673,0.00264339,0.001514442,0.001239089,0.00176226,0.00176226,0.000963736,0,8.26E-05,0
