d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__staphylococcus,d5__anaerococcus,d5__streptococcus,d5__finegoldia,d5__peptoniphilus,d5__prevotella,d5__veillonella,d5__atopobium,d5__ezakiella,d4__prevotellaceaeother,d5__megasphaera,d5__fastidiosipila,d5__ralstonia,d5__corynebacterium,d5__granulicatella,d5__porphyromonas,d5__dialister,d5__shuttleworthia,d4__bifidobacteriaceaeother,d5__mycoplasma,d5__ureaplasma,d5__escherichiashigella,d5__aerococcus,d4__corynebacteriaceaeother,d5__parvimonas,d5__fusobacterium,d5__gemella,d5__prevotella6,d5__brevibacterium,d4__familyxiother,d5__campylobacter,d5__peptostreptococcus,d5__neisseria,d5__acinetobacter,d5__facklamia,d5__chlamydia,d5__treponema2
0.097695565,0.518463247,0.000242937,0.000173527,0.21031443,0.028631915,0.019400292,0.000555286,0.00687166,0.000242937,0.000104116,3.47E-05,0.001457625,0.000208232,0,3.47E-05,0,0.001179982,0.000104116,0.000312348,0.000173527,0,3.47E-05,0,3.47E-05,0,0.002359964,0.003782883,3.47E-05,6.94E-05,6.94E-05,0.000138821,0.012806275,0.000208232,6.94E-05,3.47E-05,6.94E-05,0.002845839,0,0,6.94E-05
0.000329559,0.458152625,3.95E-05,0.000237282,0.220659381,0.019246233,0.002939664,0.016833863,0.015133339,0.000131824,0.000276829,5.27E-05,0.003071488,0.000105459,1.32E-05,1.32E-05,0,0.005299305,0.000158188,0.000527294,3.95E-05,0,1.32E-05,2.64E-05,1.32E-05,0,0.000500929,0.013248263,0,0,9.23E-05,1.32E-05,0.03374682,0.001885076,5.27E-05,0,0.000408653,0.001015041,2.64E-05,0,0
1.18E-05,0.023131357,0.371602065,0.038229352,0.001594859,0.013656716,0.136697107,0.012203622,0.000945101,0.117960471,0.241969591,0.002610843,4.73E-05,0.001181377,0,0,0,0.000425296,0.000803336,2.36E-05,0.001311328,0,0.008576795,0,0.002327312,0,0.008836698,0.000968729,0,0,0.001559417,0,0.000271717,0.000472551,0,0,0,0.000212648,9.45E-05,0,0
0,0.695241555,0,0,0.190403857,0.052702837,3.30E-05,0.006472278,0.001122742,0,0,0,0,0,0,0,0,0.000825546,0,0,3.30E-05,0,0,0,0,0.000660437,0,0.003401248,0,0,0,0,0.000198131,0.000297196,3.30E-05,0,0,0,0.000396262,0,0
4.38E-05,0.646668029,1.46E-05,1.46E-05,0.122517813,0.100032122,4.38E-05,0.018032356,0.008410232,0.000146011,0,0,0.000102208,1.46E-05,0,8.76E-05,0,0.01822217,1.46E-05,0.004073706,0,0,0,0,0,4.38E-05,0,0.009826539,0,0,2.92E-05,7.30E-05,0.00052564,0.004891368,0,1.46E-05,0,2.92E-05,0.010673403,0,0
0.325369738,0.12789822,0,1.60E-05,0.086061305,0.186687817,0.004951209,0.090051114,0.053774295,0.000112163,1.60E-05,0,0.014276787,0.002852153,4.81E-05,0.00014421,0,0.011008028,3.20E-05,0.000544793,0,0,0,0,0.001890753,0,0,0.0014421,0,1.60E-05,0,0.000256373,0.002387476,0.0019228,1.60E-05,8.01E-05,0,0.00014421,0.005992725,0,0
0.042471881,0.159986103,0.000217136,2.17E-05,0.032548747,0.011247666,0.009076302,0.003083337,0.005037565,0.000195423,0.000542841,0,0.003213619,0.001172537,6.51E-05,0.000130282,0,0.006752942,0.000325705,0.00399531,0.000629696,0,0,0,0,2.17E-05,2.17E-05,0.003083337,0,6.51E-05,0.000217136,0.0004777,0.001215964,0.000629696,0.000260564,6.51E-05,2.17E-05,0.396534503,0.000390846,0,0.000195423
0,0.29889726,0,0,0.045592088,0.01380963,0.524319165,0.001462196,0.00012185,0,0,0,0,0,0,0,0,0.008570094,0,6.09E-05,0,0,0,0,0,0.000101541,0,0.003716415,0,2.03E-05,0,0,0.06740318,0.000487399,0,0,0,0,4.06E-05,0,0
0.362150373,0.030630587,0.062279798,0.097967548,0.000778947,0.04625746,0.00094672,0.012487117,0.011061045,0.005943964,0.263895214,0.019713348,0.000742995,0.001054574,3.60E-05,0.015566953,0,0.001773602,0,0.000299595,0.004841454,0,0.000814898,2.40E-05,0.004434005,0,0.022853103,0.000395465,0.000311579,0.00662704,0.000143806,2.40E-05,0.000191741,0.000814898,0,0.000683076,0,4.79E-05,0.000431417,0,0
0.265111857,0.188773893,0.033059748,0.037507787,0.145932831,0.09817379,0.009573666,0.010327756,0.015661031,0.011464356,0.040884799,0.00802177,0.003792308,0.021737467,0.002021836,0.001956263,0.006207582,0.005453492,0.002939859,0.00368302,0.004382466,0.001628398,0.002688495,0.005442563,0.000546442,0.003726735,0.000950809,0.009387876,0.000699446,0.00189069,0.000513656,0.005125627,0.001092884,0.001726757,0.017333144,0.000928952,0.001748615,0.000426225,0.00018579,0.000240435,0
