d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other
0.490829992,0.231482271,0.061332423,0.024680827,0.026642782,0.014302369,0.02277574,0.025107339,0.009070488,0.008501806,0.085273963
0.189433792,0.135867413,0.040188925,0.067170089,0.228830816,0.027292268,0.029639686,0.016658182,0.021098478,0.055800667,0.188019684
0.355557448,0.117109446,0.043454814,0.222865577,0.008004087,0.053928247,0.040190736,0.007180972,0.014617393,0.002724796,0.134366485
0.31420335,0.110712201,0.330721752,0.021629556,0.009214226,0.033160603,0.025750314,0.018905965,0.009762482,0.013830182,0.112109368
0.524303006,0.194886441,0.054100367,0.025078199,0.029076567,0.013926289,0.017326261,0.025676595,0.010961512,0.015313477,0.089351285
0.140312876,0.066095066,0.041095066,0.353880866,0.041064982,0.011732852,0.061702768,0.014861613,0.011702768,0.052466907,0.205084236
0.251849542,0.205533037,0.031973695,0.05674764,0.007624933,0.006150968,0.012273591,0.013265682,0.170242921,0.010969699,0.233368293
0.400668216,0.23323649,0.042010459,0.026002324,0.042475305,0.022777455,0.015572342,0.034718187,0.011679256,0.011824521,0.159035445
0.447421318,0.227854724,0.061513892,0.031527935,0.017457389,0.017650136,0.02103698,0.026846931,0.014318363,0.013547375,0.120824958
0.156951341,0.606504469,0.054841112,0.026340616,0.01693148,0.02112711,0.016285998,0.014473684,0.008093347,0.008937438,0.069513406
0.264369645,0.163921381,0.050157821,0.056921567,0.009177475,0.056629798,0.037691308,0.015702501,0.014057983,0.132649001,0.198721519
0.198382859,0.096711361,0.027541221,0.01775684,0.029647581,0.23083892,0.011800145,0.166175938,0.026318174,0.008040406,0.186786556
0.510403572,0.206532956,0.050788945,0.023133642,0.011313533,0.04793711,0.018443123,0.024765943,0.008593032,0.012608116,0.085480028
0.48249491,0.154094453,0.051348264,0.043700651,0.012315638,0.030565625,0.114639718,0.011396931,0.011297611,0.009162239,0.07898396
0.334656532,0.158586712,0.053125,0.031052928,0.220974099,0.012021396,0.03704955,0.023761261,0.012190315,0.018440315,0.098141892
