,d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other,Target
11,0.39791085200000004,0.14276753,0.031837232,0.019864178,0.021873324,0.038755602,0.008054765,0.146867642,0.046292172,0.004509214,0.141267489,0
42,0.23531625399999997,0.08849327,0.077290491,0.02237661,0.030308294,0.10412505400000001,0.012273846000000001,0.195223621,0.053813865999999995,0.006136923000000001,0.174641772,0
16,0.484829956,0.22990915399999998,0.054827626,0.023555787999999998,0.021663172999999997,0.013801537,0.021575821000000002,0.029641276,0.011006288999999999,0.008502213,0.100687165,1
14,0.11853256300000001,0.111666523,0.098652647,0.106754,0.006636215,0.037203022,0.022436726,0.04872303099999999,0.02413169,0.01197966,0.413283921,0
41,0.307628515,0.268844078,0.084271514,0.14277762,0.045225787999999996,0.009485941,0.010144845,0.039011644,0.018960523,0.003374041,0.07027549,0
18,0.233893557,0.091076431,0.27470988399999996,0.10728291300000001,0.017366947,0.016966787,0.008003201,0.035934374,0.015166066,0.004801921,0.19479791899999999,0
11,0.47662560200000004,0.19879796600000002,0.05811645,0.028500721,0.056593511,0.013189741999999999,0.029996465,0.023659949,0.011313263,0.007723478000000001,0.095482853,1
36,0.47014793899999996,0.20407714,0.070227193,0.024788657999999998,0.010567101,0.020495773000000002,0.023820007,0.025361043,0.019923389,0.018030116000000002,0.11256164099999999,1
5,0.35061633299999995,0.26490755,0.039214176,0.027812017999999997,0.062846687,0.024749615,0.012865948,0.017122496,0.061228814000000006,0.005200308,0.133436055,1
22,0.097719304,0.5185892320000001,0.000242996,0.00017356900000000002,0.000555421,0.028638872000000003,0.006873329,0.21036553600000002,0.019405006000000002,0.000104141,0.11733259300000001,0
3,0.48057613200000004,0.219067215,0.055967077999999996,0.023484225,0.015089163000000001,0.012400548999999999,0.022441701,0.022386831,0.011742111999999999,0.006364883000000001,0.13048011,1
35,0.26219033399999997,0.065778858,0.22811226,0.253961253,0.008347407,0.017609156,0.013908759,0.016770113,0.008906769,0.023955767000000003,0.100459323,1
0,0.000105747,0.398181159,0.340458638,0.00018128,0.002205571,0.0051815820000000005,0.004365823,0.14168529800000002,0.0004532,0.000151067,0.107030636,0
33,0.465280459,0.21454966600000003,0.061414153,0.025536374,0.019221223,0.014036733000000001,0.051127902,0.026667034,0.008852242,0.017925101000000002,0.09538911300000001,1
